step,total_load_N,max_DCR,max_moment_Nm,moment_capacity_Nm,all_checks_safe
1.000000000000000000e+00,3.500000000000000000e+04,2.208453584729943783e-02,1.023214275662359825e+02,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000000e+04,4.417036349558173258e-02,2.046928044506557569e+02,9.598425196850392967e+04,1.000000000000000000e+00
3.000000000000000000e+00,1.050000000000000000e+05,6.625743012117525643e-02,3.070667166357875431e+02,9.598425196850392967e+04,1.000000000000000000e+00
4.000000000000000000e+00,1.400000000000000000e+05,8.834573521176093680e-02,4.094431737219678666e+02,9.598425196850392967e+04,1.000000000000000000e+00
5.000000000000000000e+00,1.750000000000000000e+05,1.104352788052852391e-01,5.118221743451381371e+02,9.598425196850392967e+04,1.000000000000000000e+00
6.000000000000000000e+00,2.100000000000000000e+05,1.325260600741677564e-01,6.142037171392425989e+02,9.598425196850392967e+04,1.000000000000000000e+00
7.000000000000000000e+00,2.450000000000000000e+05,1.546180788610962697e-01,7.165878070063046152e+02,9.598425196850392967e+04,1.000000000000000000e+00
8.000000000000000000e+00,2.800000000000000000e+05,1.767113348002052053e-01,8.189744395455873018e+02,9.598425196850392967e+04,1.000000000000000000e+00
9.000000000000000000e+00,3.150000000000000000e+05,1.988058269676898637e-01,9.213636171886300872e+02,9.598425196850392967e+04,1.000000000000000000e+00
1.000000000000000000e+01,3.500000000000000000e+05,2.209015553176120195e-01,1.023755339204473330e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.100000000000000000e+01,3.850000000000000000e+05,2.429985197518828577e-01,1.126149609614393739e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.200000000000000000e+01,4.200000000000000000e+05,2.650967381829419378e-01,1.228546510603424167e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.300000000000000000e+01,4.550000000000000000e+05,2.871961971431337135e-01,1.330945984349857326e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.400000000000000000e+01,4.900000000000000000e+05,3.092968987885122978e-01,1.433348042817666283e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.500000000000000000e+01,5.250000000000000000e+05,3.313988343307820994e-01,1.535752645800073651e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.600000000000000000e+01,5.600000000000000000e+05,3.535020034178038006e-01,1.638159795358146312e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.700000000000000000e+01,5.950000000000000000e+05,3.756064055086381082e-01,1.740569490164773242e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.800000000000000000e+01,6.300000000000000000e+05,3.977120414539542237e-01,1.842981738326416689e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.900000000000000000e+01,6.650000000000000000e+05,4.198189123164715597e-01,1.945396544514428342e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+01,7.000000000000000000e+05,4.419270160651795898e-01,2.047813901500096790e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.100000000000000000e+01,7.350000000000000000e+05,4.640363511529886353e-01,2.150233805000516895e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.200000000000000000e+01,7.700000000000000000e+05,4.861469164302280044e-01,2.252656251511676146e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.300000000000000000e+01,8.050000000000000000e+05,5.082587014161003003e-01,2.355081189041570724e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.400000000000000000e+01,8.400000000000000000e+05,5.303717159556954330e-01,2.457508671113024775e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.500000000000000000e+01,8.750000000000000000e+05,5.524859595037806548e-01,2.559938697954713916e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.600000000000000000e+01,9.100000000000000000e+05,5.746014270782481281e-01,2.662371247829574713e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.700000000000000000e+01,9.450000000000000000e+05,5.967181215056588384e-01,2.764806335929984016e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.800000000000000000e+01,9.800000000000000000e+05,6.188360438644007200e-01,2.867243969598493095e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.900000000000000000e+01,1.015000000000000000e+06,6.409551938829868289e-01,2.969684150438818961e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.000000000000000000e+01,1.050000000000000000e+06,6.630755712649658573e-01,3.072126877468359908e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.100000000000000000e+01,1.085000000000000000e+06,6.851971756286755477e-01,3.174572152482561251e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.200000000000000000e+01,1.120000000000000000e+06,7.073200063465394649e-01,3.277019974143326181e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.300000000000000000e+01,1.155000000000000000e+06,7.294440628785834324e-01,3.379470342435678049e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.400000000000000000e+01,1.190000000000000000e+06,7.515693446818138002e-01,3.481923257509401083e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.500000000000000000e+01,1.225000000000000000e+06,7.736958510039402270e-01,3.584378717306426552e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.600000000000000000e+01,1.260000000000000000e+06,7.958235810964694457e-01,3.686836720299926128e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.700000000000000000e+01,1.295000000000000000e+06,8.179525344888457505e-01,3.789297267651247694e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.800000000000000000e+01,1.330000000000000000e+06,8.400827106522028576e-01,3.891760358665380409e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.900000000000000000e+01,1.365000000000000000e+06,8.622141096023259177e-01,3.994225996235205457e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.000000000000000000e+01,1.400000000000000000e+06,8.843467310768510226e-01,4.096694180496532681e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.100000000000000000e+01,1.435000000000000000e+06,9.064805746885462590e-01,4.199164912508851558e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.200000000000000000e+01,1.470000000000000000e+06,9.286156399687073293e-01,4.301638191145765632e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.300000000000000000e+01,1.505000000000000000e+06,9.507519264712843698e-01,4.404114017803289244e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.400000000000000000e+01,1.540000000000000000e+06,9.728894337672444603e-01,4.506592392011090851e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.500000000000000000e+01,1.575000000000000000e+06,9.950281614145513043e-01,4.609073313826089361e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.600000000000000000e+01,1.610000000000000000e+06,1.017168108932711146e+00,4.711556783660697874e+03,9.598425196850392967e+04,0.000000000000000000e+00
